theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,m_dot_kg_s,qdot_comb_w,qdot_loss_w,intake_area_m2,exhaust_area_m2
0.0,5.258496991767655e-05,100000.0,300.0,6.107429723307381e-05,0.1213402773886282,0.0,0.0,0.0002036233487652008,0.0010524205584216573
0.5,5.2597340564256244e-05,107425.09700625368,305.49165813489765,6.444486049386904e-05,0.03196121981428937,0.0,0.0,0.00021373629288855286,0.0010535253687700373
1.0,5.263445096764091e-05,109256.13170777202,306.6928129519395,6.533267215537708e-05,-0.0026850438642689878,0.0,0.0,0.00022383926780369332,0.0010546240265305144
1.5,5.2696296519006063e-05,108876.19066298104,306.3351077832949,6.525808760359184e-05,0.004350688266626643,0.0,0.0,0.00023393180228199197,0.0010557165252869274
2.0,5.2782869537766406e-05,108860.52321989967,306.2271145194079,6.537894005544258e-05,0.003060352871425011,0.0,0.0,0.00024401342558178754,0.0010568028586590839
2.5,5.289415927275859e-05,108696.26164531476,306.01183572619357,6.54639498574266e-05,0.00478932304033465,0.0,0.0,0.000254083667470344,0.0010578830203027973
3.0,5.303015190389859e-05,108569.96603595706,305.82063599634216,6.559698660854702e-05,0.005650344964719556,0.0,0.0,0.00026414205824578366,0.0010589570039099237
3.5,5.3190830544311396e-05,108428.73471086689,305.6169797879733,6.575394063534478e-05,0.006720583168250992,0.0,0.0,0.00027418812875899476,0.0010600248032083997
4.0,5.3376175242934454e-05,108285.95292150766,305.4109663507247,6.594062350112953e-05,0.007747700321689387,0.0,0.0,0.00028422141043551443,0.001061086411962277
4.5,5.358616298759536e-05,108139.50874190505,305.2017258930902,6.615583739895423e-05,0.008778838778610971,0.0,0.0,0.0002942414352973838,0.0010621418239717608
5.0,5.3820767708561595e-05,107990.18391655156,304.99041735610393,6.639969403169343e-05,0.00980688031200691,0.0,0.0,0.00030424773598497593,0.001063191033073245
5.5,5.407996028256501e-05,107838.32432716669,304.77786016356237,6.667210737369362e-05,0.010832508900101567,0.0,0.0,0.00031423984577879423,0.0010642340331393496
6.0,5.4363708537300284e-05,107684.31449589288,304.56486824621487,6.697301039869644e-05,0.011855584589005215,0.0,0.0,0.00032421729862124195,0.0010652708180789539
6.5,5.467197725639597e-05,107528.52485255014,304.3522089062258,6.730233219283547e-05,0.012876047690832046,0.0,0.0,0.00033417962913836016,0.0010663013818372337
7.0,5.500472818486013e-05,107371.31446189624,304.1406021058915,6.766000018424747e-05,0.013893848898028555,0.0,0.0,0.00034412637266153373,0.0010673257183956974
7.5,5.536192003500168e-05,107213.02980210943,303.93071763352543,6.804594043141493e-05,0.01490894990695419,0.0,0.0,0.000354057065249165,0.0010683438217722193
8.0,5.5743508492822086e-05,107054.00387811093,303.7231731964283,6.846007792883032e-05,0.01592132096638791,0.0,0.0,0.0003639712437083129,0.0010693556860210769
8.5,5.614944622488472e-05,106894.55547461001,303.5185332602177,6.890233684456332e-05,0.016930938608615435,0.0,0.0,0.00037386844561629784,0.0010703613052329823
9.0,5.657968288565699e-05,106734.9885478222,303.31730858450976,6.937264069480264e-05,0.017937783531479,0.0,0.0,0.0003837482093422699,0.0010713606735351198
9.5,5.703416512532759e-05,106575.59175011277,303.1199563946498,6.987091245956595e-05,0.01894183865379718,0.0,0.0,0.0003936100740687408,0.001072353785091179
10.0,5.7512836598097704e-05,106416.63808094557,302.9268811237071,7.039707464439365e-05,0.01994308736075954,0.0,0.0,0.0004034535798130773,0.001073340634101388
10.5,5.801563797094676e-05,106258.38465690314,302.73843565581507,7.095104929330364e-05,0.020941511949265107,0.0,0.0,0.00041327826744895604,0.0010743212148025495
11.0,5.85425069328751e-05,106101.0725930204,302.5549230006358,7.1532757958561e-05,0.02193709227807121,0.0,0.0,0.00042308367872777856,0.0010752955214680723
11.5,5.909337820461753e-05,105944.92698736508,302.3765983292505,7.214212163295187e-05,0.022929804622135043,0.0,0.0,0.0004328693563000452,0.0010762635484080053
12.0,5.966818354883625e-05,105790.15700053616,302.2036713037287,7.27790606502334e-05,0.023919620726883098,0.0,0.0,0.00044263484373668676,0.0010772252899690718
12.5,6.0266851780785535e-05,105636.95602169611,302.0363086358227,7.344349455931349e-05,0.02490650705387496,0.0,0.0,0.0004523796855503536,0.0010781807405347012
13.0,6.088930877945359e-05,105485.50191270621,301.8746368143569,7.413534197747669e-05,0.025890424207046014,0.0,0.0,0.00046210342721666103,0.0010791298945250624
13.5,6.153547749917849e-05,105335.9573220443,301.71874494572575,7.48545204276724e-05,0.026871326526125547,0.0,0.0,0.0004718056151953892,0.0010800727463970963
14.0,6.220527798174017e-05,105188.47006032788,301.56868765723243,7.560094616450923e-05,0.027849161832452805,0.0,0.0,0.00048148579695163736,0.0010810092906445483
14.5,6.289862736892625e-05,105043.17352949323,301.4244880185763,7.637453399318848e-05,0.02882387131132743,0.0,0.0,0.0004911435209769315,0.0010819395217980003
15.0,6.36154399155755e-05,104900.18719794448,301.28614044246734,7.717519708516979e-05,0.029795389514770634,0.0,0.0,0.0005007783368102837,0.0010828634344249022
15.5,6.435562700309406e-05,104759.61711433045,301.153613530964,7.800284679391342e-05,0.030763644468210838,0.0,0.0,0.0005103897950592027,0.0010837810231296048
16.0,6.511909715344848e-05,104621.55645294335,301.026852839555,7.885739247358595e-05,0.03172855786532018,0.0,0.0,0.0005199774474206548,0.0010846922825533901
16.5,6.590575604363376e-05,104486.08608413962,300.9057835361462,7.973874130317817e-05,0.03269004533568759,0.0,0.0,0.000529540846701974,0.0010855972073745036
17.0,6.671550652061548e-05,104353.27516359277,300.79031293690383,8.064679811805838e-05,0.0336480167709524,0.0,0.0,0.00053907954684172,0.0010864957923081842
17.5,6.754824861674725e-05,104223.18173462233,300.68033290530514,8.158146525058483e-05,0.03460237669612985,0.0,0.0,0.0005485931029304839,0.0010873880321066963
18.0,6.840387956566405e-05,104095.85333828087,300.57572210467964,8.254264238103289e-05,0.03555302467412971,0.0,0.0,0.0005580810712316393,0.0010882739215593597
18.5,6.928229381864824e-05,103971.32762635447,300.47634809806743,8.353022639975872e-05,0.036499855732424924,0.0,0.0,0.0005675430092020403,0.0010891534554925799
19.0,7.018338306147088e-05,103849.63297285409,300.3820692922469,8.454411128121496e-05,0.03744276080258349,0.0,0.0,0.0005769784755126618,0.0010900266287698793
19.5,7.110703623170684e-05,103730.78908005418,300.29273672545014,8.558418797017561e-05,0.038381627164213034,0.0,0.0,0.0005863870300691853,0.001090893436291926
20.0,7.205313953652339e-05,103614.80757556035,300.2081957004804,8.665034428029263e-05,0.039316338886378546,0.0,0.0,0.0005957682340325248,0.0010917538729965646
20.5,7.302157647094209e-05,103501.69259732479,300.12828726678555,8.774246480491426e-05,0.04024677726062045,0.0,0.0,0.0006051216498392965,0.0010926079338588442
21.0,7.401222783657356e-05,103391.44136394565,300.05284955652263,8.88604308399315e-05,0.041172821220784334,0.0,0.0,0.0006144468412222274,0.0010934556138910503
21.5,7.502497176082389e-05,103284.04472798151,299.98171898079306,9.000412031828661e-05,0.04209434774592265,0.0,0.0,0.0006237433732305036,0.0010942969081427314
22.0,7.605968371657358e-05,103179.48771038908,299.9147312931048,9.117340775567336e-05,0.043011232243427344,0.0,0.0,0.0006330108122500584,0.0010951318117007295
22.5,7.711623654232681e-05,103077.75001455318,299.85172252773117,9.236816420687967e-05,0.043923348910272636,0.0,0.0,0.0006422487260237957,0.0010959603196892078
23.0,7.819450046283086e-05,102978.8065186962,299.7925298210143,9.358825723216502e-05,0.044830571071130296,0.0,0.0,0.0006514566836717535,0.0010967824272696796
23.5,7.929434311016589e-05,102882.62774577431,299.73699212390386,9.483355087302976e-05,0.04573277149249476,0.0,0.0,0.0006606342557111995,0.0010975981296410375
24.0,8.041562954530247e-05,102789.18031023329,299.68495081402915,9.610390563671017e-05,0.0466298226726682,0.0,0.0,0.0006697810140766646,0.0010984074220395793
24.5,8.155822228012767e-05,102698.42734125556,299.6362502155512,9.739917848872873e-05,0.04752159710779916,0.0,0.0,0.0006788965321399078,0.0010992102997390376
25.0,8.272198129993596e-05,102610.32888236131,299.5907380348477,9.871922285283426e-05,0.04840796753441683,0.0,0.0,0.0006879803847298166,0.001100006758050607
25.5,8.390676408638858e-05,102524.84226741019,299.548265719805,0.00010006388861767918,0.049288807149487315,0.0,0.0,0.0006970321481522362,0.0011007967923229714
26.0,8.511242564093429e-05,102441.92247325354,299.5086887501757,0.00010143302214960938,0.050163989808742135,0.0,0.0,0.0007060514002097338,0.0011015803979423304
