theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,m_dot_kg_s,qdot_comb_w,qdot_loss_w,intake_area_m2,exhaust_area_m2
0.0,5.258496991767655e-05,100000.0,300.0,6.107429723307381e-05,0.12671776254892195,0.0,0.0,0.0002036233487652008,0.0010990610973844513
0.5,5.2597340564256244e-05,107755.2002971242,305.7217718211821,6.459423508165497e-05,0.029764439222616762,0.0,0.0,0.00021373629288855286,0.0010999395106553785
1.0,5.263445096764091e-05,109448.86985390465,306.81892025712153,6.5421025060061e-05,-0.0065694753250507,0.0,0.0,0.00022383926780369332,0.0011008101273438414
1.5,5.2696296519006063e-05,108829.14512683378,306.2944900935331,6.523853963436515e-05,0.007225713670250822,0.0,0.0,0.00023393180228199197,0.0011016729412787424
2.0,5.2782869537766406e-05,108989.88920496222,306.3084461027608,6.543925390298323e-05,0.00204016454921805,0.0,0.0,0.00024401342558178754,0.00110252794634429
2.5,5.289415927275859e-05,108761.97015135511,306.0473383344756,6.549592514046151e-05,0.005408739053757369,0.0,0.0,0.000254083667470344,0.0011033751364800447
3.0,5.303015190389859e-05,108672.68115949736,305.880630935403,6.564616789195476e-05,0.005649381730568934,0.0,0.0,0.00026414205824578366,0.0011042145056809596
3.5,5.3190830544311396e-05,108530.16701510873,305.67436898686145,6.580309516224834e-05,0.006908770667225582,0.0,0.0,0.00027418812875899476,0.0011050460479974252
4.0,5.3376175242934454e-05,108397.49855806229,305.47364349341166,6.599500545856017e-05,0.007891358045113782,0.0,0.0,0.00028422141043551443,0.001105869757535309
4.5,5.358616298759536e-05,108258.2348994808,305.26745424738647,6.621420984870222e-05,0.008933054289093745,0.0,0.0,0.0002942414352973838,0.0011066856284560008
5.0,5.3820767708561595e-05,108116.5158773096,305.059348669516,6.646235024562149e-05,0.009960569159255604,0.0,0.0,0.00030424773598497593,0.00110749365497645
5.5,5.407996028256501e-05,107972.00401002455,304.84966453693414,6.673903272226748e-05,0.010986801940172465,0.0,0.0,0.00031423984577879423,0.0011082938313692096
6.0,5.4363708537300284e-05,107825.14686717138,304.6392684016821,6.704422166505005e-05,0.012009850651220719,0.0,0.0,0.00032421729862124195,0.0011090861519624756
6.5,5.467197725639597e-05,107676.27293356974,304.4289065224638,6.737782862758396e-05,0.013029865771834993,0.0,0.0,0.00033417962913836016,0.0011098706111401283
7.0,5.500472818486013e-05,107525.71413149194,304.21928986128614,6.773976934346827e-05,0.01404679758542627,0.0,0.0,0.00034412637266153373,0.0011106472033417692
7.5,5.536192003500168e-05,107373.7918376284,304.0110818934447,6.812995816528566e-05,0.015060624629101502,0.0,0.0,0.000354057065249165,0.0011114159230627644
8.0,5.5743508492822086e-05,107220.81699177154,303.8048972315118,6.854830884942738e-05,0.016071334143345106,0.0,0.0,0.0003639712437083129,0.0011121767648542807
8.5,5.614944622488472e-05,107067.08928784847,303.60130022215935,6.899473479785364e-05,0.017078920583612517,0.0,0.0,0.00037386844561629784,0.0011129297233233256
9.0,5.657968288565699e-05,106912.89652722293,303.40080425208356,6.946914925850955e-05,0.018083383422988236,0.0,0.0,0.0003837482093422699,0.0011136747931327843
9.5,5.703416512532759e-05,106758.51408021907,303.20387167241296,6.997146546470366e-05,0.019084725131013634,0.0,0.0,0.0003936100740687408,0.0011144119690014598
10.0,5.7512836598097704e-05,106604.20445278595,303.01091428264516,7.050159671834292e-05,0.020082949327625915,0.0,0.0,0.0004034535798130773,0.0011151412457041073
10.5,5.801563797094676e-05,106450.21695351777,302.822294310687,7.105945642188809e-05,0.021078059124394866,0.0,0.0,0.00041327826744895604,0.0011158626180714738
11.0,5.85425069328751e-05,106296.787455766,302.63832582372316,7.16449580642324e-05,0.022070055660352195,0.0,0.0,0.00042308367872777856,0.0011165760809903336
11.5,5.909337820461753e-05,106144.13824926577,302.459276504548,7.225801516590884e-05,0.023058936834410765,0.0,0.0,0.0004328693563000452,0.0011172816294035238
