theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,m_dot_kg_s,qdot_comb_w,qdot_loss_w,intake_area_m2,exhaust_area_m2
0.0,5.258496991767655e-05,100000.0,300.0,6.107429723307381e-05,0.12500606527480992,0.0,0.0,0.0001736051235672353,0.001084215034396642
0.5,5.2597340564256244e-05,107650.1257341425,305.64864031574325,6.454668793515187e-05,0.035349628375013806,0.0,0.0,0.00018224318495516534,0.0010851826188900398
1.0,5.263445096764091e-05,109692.79979125639,306.99781627589346,6.552862205668002e-05,-0.009611623854082964,0.0,0.0,0.00019087507808840715,0.0010861430075239694
1.5,5.2696296519006063e-05,108892.33360325245,306.3638856443873,6.526163250517772e-05,0.01093763829759923,0.0,0.0,0.0001995005108094497,0.0010870961939300815
2.0,5.2782869537766406e-05,109286.63710296206,306.5512404941789,6.556545579122215e-05,0.0002502063560963358,0.0,0.0,0.00020811919117944323,0.0010880421717877843
2.5,5.289415927275859e-05,108953.83047634816,306.22962757198724,6.557240596778038e-05,0.006829989977403986,0.0,0.0,0.00021673082748807973,0.0010889809348242885
3.0,5.303015190389859e-05,108956.13479727009,306.1376930585926,6.576212791159715e-05,0.005389568250759612,0.0,0.0,0.0002253351282634667,0.0010899124768146435
3.5,5.3190830544311396e-05,108801.60635604248,305.93330534762794,6.591183814078492e-05,0.007335278051603528,0.0,0.0,0.00023393180228199197,0.001090836791581783
4.0,5.3376175242934454e-05,108698.25901376056,305.762503479102,6.611559586444058e-05,0.008091582070072455,0.0,0.0,0.00024252055857818086,0.0010917538729965646
4.5,5.358616298759536e-05,108573.81040835565,305.57513088024865,6.63403620330537e-05,0.00920498856321978,0.0,0.0,0.0002511011064545443,0.0010926637149778094
5.0,5.3820767708561595e-05,108450.52518656963,305.38741807140843,6.65960561598098e-05,0.010224551133207374,0.0,0.0,0.00025967315549141735,0.0010935663114923443
5.5,5.407996028256501e-05,108323.17693960352,305.19620384660584,6.688007146906557e-05,0.011259491192844619,0.0,0.0,0.0002682364155567897,0.001094461656555041
6.0,5.4363708537300284e-05,108193.18669610462,305.00300998706604,6.719283511331124e-05,0.012287750554951557,0.0,0.0,0.00027679059681612474,0.0010953497442288541
6.5,5.467197725639597e-05,108060.64195206016,304.8083886589665,6.753416151761545e-05,0.013312786235274515,0.0,0.0,0.0002853354097421697,0.0010962305686248641
7.0,5.500472818486013e-05,107925.84053753252,304.61301590551943,6.790396113526197e-05,0.014334083050061439,0.0,0.0,0.0002938705651247553,0.0010971041239023133
7.5,5.536192003500168e-05,107789.04892459033,304.41751670625916,6.830213010887479e-05,0.015351627707726849,0.0,0.0,0.00030239577408058425,0.0010979704042686457
8.0,5.5743508492822086e-05,107650.53073722793,304.2224832579448,6.87285642118672e-05,0.016365376638451924,0.0,0.0,0.0003109107480630084,0.0010988294039795449
8.5,5.614944622488472e-05,107510.54344149608,304.02847099592304,6.918315800737975e-05,0.01737530058279963,0.0,0.0,0.000319415198871796,0.001099681117338974
9.0,5.657968288565699e-05,107369.33788359612,303.8359971558277,6.966580524579086e-05,0.018381380038178963,0.0,0.0,0.00032790883866288525,0.0011005255386992102
9.5,5.703416512532759e-05,107227.15773117082,303.64553973445135,7.017639913574027e-05,0.01938360358169699,0.0,0.0,0.0003363913799581271,0.0011013626624608857
10.0,5.7512836598097704e-05,107084.23898476937,303.457536938091,7.071483256856518e-05,0.020381966179287773,0.0,0.0,0.00034486253565501576,0.001102192483073022
10.5,5.801563797094676e-05,106940.80955262226,303.27238707657233,7.128099829576762e-05,0.021376467586647192,0.0,0.0,0.0003533220190364052,0.0011030149950330683
11.0,5.85425069328751e-05,106797.08888679637,303.0904488612398,7.187478906206338e-05,0.022367110854735757,0.0,0.0,0.0003617695437802142,0.0011038301928869378
11.5,5.909337820461753e-05,106653.28767853613,302.9120420628399,7.249609769691714e-05,0.023353900949295653,0.0,0.0,0.00037020482396911663,0.0011046380712290429
12.0,5.966818354883625e-05,106509.60761034102,302.73744848407296,7.314481716773092e-05,0.024336843491397565,0.0,0.0,0.00037862757410021944,0.0011054386247023327
